year,global_avgtemp,city_avgtemp
1816,6.94,25.96
1817,6.98,25.83
1818,7.83,26.48
1819,7.37,25.90
1820,7.62,26.42
1821,8.09,26.81
1822,8.19,26.93
1823,7.72,26.78
1824,8.55,
1825,8.39,27.11
1826,8.36,
1827,8.81,
1828,8.17,
1829,7.94,
1830,8.52,
1831,7.64,
1832,7.45,
1833,8.01,26.83
1834,8.15,26.82
1835,7.39,25.89
1836,7.70,26.36
1837,7.38,25.84
1838,7.51,27.08
1839,7.63,26.59
1840,7.80,26.83
1841,7.69,27.58
1842,8.02,26.88
1843,8.17,26.89
1844,7.65,26.39
1845,7.85,26.13
1846,8.55,26.55
1847,8.09,26.18
1848,7.98,26.52
1849,7.98,26.62
1850,7.90,26.72
1851,8.18,26.85
1852,8.10,26.67
1853,8.04,26.94
1854,8.21,26.94
1855,8.11,26.84
1856,8.00,26.56
1857,7.76,26.72
1858,8.10,26.95
1859,8.25,26.88
1860,7.96,26.65
1861,7.85,26.59
1862,7.56,25.37
1863,8.11,26.61
1864,7.98,26.49
1865,8.18,26.93
1866,8.29,27.04
1867,8.44,26.84
1868,8.25,26.92
1869,8.43,26.35
1870,8.20,26.40
1871,8.12,26.75
1872,8.19,26.88
1873,8.35,26.99
1874,8.43,26.91
1875,7.86,26.54
1876,8.08,26.50
1877,8.54,27.09
1878,8.83,27.58
1879,8.17,26.95
1880,8.12,26.83
1881,8.27,27.03
1882,8.13,26.85
1883,7.98,26.70
1884,7.77,26.50
1885,7.92,26.97
1886,7.95,26.87
1887,7.91,26.62
1888,8.09,27.12
1889,8.32,27.21
1890,7.97,26.78
1891,8.02,27.13
1892,8.07,26.59
1893,8.06,26.37
1894,8.16,26.68
1895,8.15,27.05
1896,8.21,27.15
1897,8.29,27.19
1898,8.18,26.83
1899,8.40,26.84
1900,8.50,27.36
1901,8.54,27.28
1902,8.30,27.19
1903,8.22,27.14
1904,8.09,26.51
1905,8.23,27.22
1906,8.38,27.48
1907,7.95,26.80
1908,8.19,26.89
1909,8.18,26.98
1910,8.22,26.95
1911,8.18,27.14
1912,8.17,27.24
1913,8.30,27.09
1914,8.59,27.28
1915,8.59,27.27
1916,8.23,26.82
1917,8.02,26.77
1918,8.13,26.78
1919,8.38,27.51
1920,8.36,27.23
1921,8.57,26.89
1922,8.41,27.14
1923,8.42,26.91
1924,8.51,27.04
1925,8.53,26.91
1926,8.73,27.49
1927,8.52,27.07
1928,8.63,27.13
1929,8.24,26.96
1930,8.63,27.16
1931,8.72,27.65
1932,8.71,27.17
1933,8.34,27.37
1934,8.63,27.00
1935,8.52,27.54
1936,8.55,27.18
1937,8.70,27.51
1938,8.86,27.23
1939,8.76,27.12
1940,8.76,27.55
1941,8.77,28.18
1942,8.73,27.49
1943,8.76,27.07
1944,8.85,27.55
1945,8.58,27.46
1946,8.68,27.38
1947,8.80,27.75
1948,8.75,27.16
1949,8.59,27.39
1950,8.37,27.17
1951,8.63,27.57
1952,8.64,27.56
1953,8.87,27.48
1954,8.56,27.55
1955,8.63,26.99
1956,8.28,26.98
1957,8.73,27.60
1958,8.77,27.68
1959,8.73,27.83
1960,8.58,27.85
1961,8.80,27.42
1962,8.75,27.37
1963,8.86,27.34
1964,8.41,27.38
1965,8.53,27.44
1966,8.60,27.93
1967,8.70,27.35
1968,8.52,27.63
1969,8.60,27.78
1970,8.70,27.55
1971,8.60,26.89
1972,8.50,27.55
1973,8.95,27.63
1974,8.47,27.05
1975,8.74,27.29
1976,8.35,27.08
1977,8.85,27.69
1978,8.69,27.77
1979,8.73,28.17
1980,8.98,28.09
1981,9.17,27.35
1982,8.64,27.30
1983,9.03,27.54
1984,8.69,27.41
1985,8.66,27.44
1986,8.83,27.27
1987,8.99,27.84
1988,9.20,27.60
1989,8.92,27.66
1990,9.23,27.96
1991,9.18,27.85
1992,8.84,27.55
1993,8.87,27.58
1994,9.04,27.76
1995,9.35,27.68
1996,9.04,27.37
1997,9.20,28.01
1998,9.52,28.44
1999,9.29,27.34
2000,9.20,27.52
2001,9.41,27.81
2002,9.57,27.98
2003,9.53,27.79
2004,9.32,27.80
2005,9.70,27.92
2006,9.53,27.92
2007,9.73,27.79
2008,9.43,27.48
2009,9.51,27.79
2010,9.70,28.54
2011,9.52,27.56
2012,9.51,28.48
2013,9.61,28.98
